customer_id,signup_date,country,acquisition_channel,device_type,age_group
CUST_002796,2025-01-01,France,Partner,mobile,45+
CUST_003082,2025-01-01,France,Paid Social,mobile,25-34
CUST_003453,2025-01-01,Spain,Organic,mobile,25-34
CUST_001124,2025-01-01,Canada,Search Ads,mobile,45+
CUST_003067,2025-01-01,France,Paid Social,mobile,35-44
CUST_000931,2025-01-01,Switzerland,Paid Social,mobile,25-34
CUST_003744,2025-01-01,Canada,Organic,mobile,35-44
CUST_003581,2025-01-01,Canada,Search Ads,desktop,18-24
CUST_003821,2025-01-02,France,Paid Social,mobile,45+
CUST_002874,2025-01-02,Canada,Organic,mobile,25-34
CUST_001542,2025-01-02,France,Search Ads,mobile,18-24
CUST_001381,2025-01-02,Belgium,Paid Social,mobile,18-24
CUST_001955,2025-01-02,Spain,Partner,desktop,35-44
CUST_003048,2025-01-02,Switzerland,Search Ads,desktop,18-24
CUST_000758,2025-01-02,Canada,Organic,desktop,25-34
CUST_002310,2025-01-02,Belgium,Organic,mobile,25-34
CUST_001055,2025-01-02,France,Search Ads,mobile,45+
CUST_003005,2025-01-02,France,Partner,desktop,35-44
CUST_000730,2025-01-02,France,Organic,mobile,25-34
CUST_003534,2025-01-02,Belgium,Organic,mobile,25-34
CUST_003157,2025-01-02,Belgium,Referral,mobile,35-44
CUST_002994,2025-01-03,France,Paid Social,desktop,25-34
CUST_000714,2025-01-03,France,Search Ads,desktop,25-34
CUST_000300,2025-01-03,France,Referral,mobile,18-24
CUST_003126,2025-01-03,Switzerland,Organic,desktop,35-44
CUST_002265,2025-01-03,France,Organic,mobile,25-34
CUST_000764,2025-01-03,France,Paid Social,desktop,35-44
CUST_001655,2025-01-03,France,Organic,mobile,25-34
CUST_001414,2025-01-03,Belgium,Paid Social,mobile,18-24
CUST_000455,2025-01-04,France,Paid Social,mobile,35-44
CUST_001133,2025-01-04,Canada,Paid Social,mobile,25-34
CUST_001802,2025-01-04,Switzerland,Search Ads,desktop,25-34
CUST_003309,2025-01-04,Canada,Organic,desktop,35-44
CUST_000484,2025-01-04,France,Referral,mobile,35-44
CUST_000401,2025-01-04,France,Organic,desktop,45+
CUST_003080,2025-01-04,France,Referral,desktop,35-44
CUST_001588,2025-01-04,France,Paid Social,mobile,18-24
CUST_000691,2025-01-04,Belgium,Paid Social,mobile,25-34
CUST_002092,2025-01-04,Belgium,Referral,mobile,18-24
CUST_001635,2025-01-04,France,Partner,desktop,35-44
CUST_003644,2025-01-04,Belgium,Organic,desktop,45+
CUST_001970,2025-01-04,Switzerland,Referral,mobile,25-34
CUST_001551,2025-01-04,Canada,Organic,mobile,45+
CUST_000005,2025-01-04,France,Search Ads,mobile,25-34
CUST_003089,2025-01-04,France,Organic,mobile,35-44
CUST_003364,2025-01-05,France,Paid Social,mobile,25-34
CUST_003649,2025-01-05,France,Referral,mobile,25-34
CUST_000933,2025-01-05,Switzerland,Search Ads,mobile,35-44
CUST_002225,2025-01-05,Belgium,Organic,desktop,25-34
CUST_000056,2025-01-05,Spain,Paid Social,desktop,18-24
CUST_001580,2025-01-05,Belgium,Paid Social,mobile,25-34
CUST_001449,2025-01-05,Canada,Organic,mobile,25-34
CUST_000520,2025-01-05,France,Paid Social,mobile,25-34
CUST_000795,2025-01-05,France,Organic,mobile,35-44
CUST_001825,2025-01-05,France,Paid Social,mobile,35-44
CUST_003636,2025-01-06,France,Organic,mobile,25-34
CUST_001647,2025-01-06,Switzerland,Organic,mobile,35-44
CUST_002007,2025-01-06,France,Search Ads,mobile,25-34
CUST_001859,2025-01-06,France,Referral,desktop,18-24
CUST_000639,2025-01-06,France,Organic,mobile,25-34
CUST_001160,2025-01-06,Canada,Search Ads,mobile,18-24
CUST_003428,2025-01-06,France,Paid Social,mobile,25-34
CUST_003945,2025-01-06,France,Search Ads,mobile,35-44
CUST_001140,2025-01-06,France,Paid Social,mobile,35-44
CUST_000875,2025-01-06,Belgium,Organic,desktop,25-34
CUST_002750,2025-01-06,France,Organic,mobile,18-24
CUST_003946,2025-01-06,France,Organic,desktop,45+
CUST_001951,2025-01-06,Canada,Paid Social,mobile,35-44
CUST_000832,2025-01-06,Canada,Search Ads,desktop,35-44
CUST_002930,2025-01-06,France,Partner,desktop,25-34
CUST_002351,2025-01-06,Spain,Paid Social,mobile,35-44
CUST_002350,2025-01-07,France,Organic,mobile,35-44
CUST_002793,2025-01-07,France,Paid Social,mobile,35-44
CUST_001313,2025-01-07,France,Partner,mobile,25-34
CUST_002424,2025-01-07,Canada,Referral,desktop,25-34
CUST_001225,2025-01-07,France,Search Ads,mobile,25-34
CUST_000970,2025-01-07,France,Referral,mobile,45+
CUST_002703,2025-01-07,France,Search Ads,desktop,18-24
CUST_003873,2025-01-07,France,Organic,mobile,45+
CUST_003714,2025-01-07,Spain,Paid Social,mobile,25-34
CUST_002377,2025-01-07,France,Organic,desktop,18-24
CUST_003670,2025-01-07,Belgium,Organic,desktop,25-34
CUST_002247,2025-01-07,France,Organic,desktop,18-24
CUST_000479,2025-01-07,France,Organic,mobile,45+
CUST_003765,2025-01-07,France,Referral,desktop,18-24
CUST_000440,2025-01-08,France,Organic,desktop,35-44
CUST_000713,2025-01-08,Switzerland,Referral,mobile,18-24
CUST_001035,2025-01-08,Spain,Referral,mobile,35-44
CUST_000854,2025-01-09,Canada,Organic,mobile,25-34
CUST_003807,2025-01-09,Belgium,Paid Social,mobile,25-34
CUST_001435,2025-01-09,Belgium,Organic,mobile,18-24
CUST_000223,2025-01-09,France,Organic,desktop,25-34
CUST_002016,2025-01-09,France,Organic,desktop,35-44
CUST_003848,2025-01-09,Switzerland,Organic,desktop,35-44
CUST_003543,2025-01-09,Switzerland,Paid Social,desktop,18-24
CUST_001860,2025-01-09,Spain,Paid Social,mobile,35-44
CUST_002907,2025-01-09,France,Referral,mobile,18-24
CUST_000425,2025-01-09,France,Organic,mobile,25-34
CUST_003181,2025-01-09,France,Search Ads,mobile,35-44
CUST_001185,2025-01-09,France,Organic,desktop,18-24
CUST_001529,2025-01-10,Spain,Organic,mobile,25-34
CUST_001650,2025-01-10,France,Search Ads,mobile,35-44
CUST_002453,2025-01-10,France,Referral,mobile,25-34
CUST_001518,2025-01-10,France,Organic,desktop,35-44
CUST_003960,2025-01-10,France,Search Ads,mobile,45+
CUST_001297,2025-01-10,Switzerland,Search Ads,mobile,18-24
CUST_000255,2025-01-10,France,Paid Social,mobile,25-34
CUST_002741,2025-01-10,Canada,Organic,mobile,18-24
CUST_003572,2025-01-10,France,Referral,mobile,25-34
CUST_000940,2025-01-10,Spain,Organic,mobile,45+
CUST_003168,2025-01-10,Spain,Referral,desktop,18-24
CUST_001337,2025-01-11,France,Paid Social,mobile,25-34
CUST_001246,2025-01-11,France,Organic,desktop,25-34
CUST_002252,2025-01-11,Canada,Organic,mobile,18-24
CUST_003096,2025-01-11,France,Organic,desktop,25-34
CUST_003066,2025-01-11,Belgium,Organic,mobile,25-34
CUST_002911,2025-01-11,Canada,Paid Social,mobile,18-24
CUST_002243,2025-01-11,France,Referral,mobile,45+
CUST_003403,2025-01-11,France,Search Ads,mobile,35-44
CUST_002684,2025-01-11,Spain,Paid Social,mobile,25-34
CUST_001548,2025-01-11,Belgium,Search Ads,desktop,18-24
CUST_003634,2025-01-11,France,Organic,mobile,35-44
CUST_002603,2025-01-11,France,Referral,mobile,35-44
CUST_001008,2025-01-12,Switzerland,Organic,mobile,25-34
CUST_002897,2025-01-12,France,Paid Social,mobile,25-34
CUST_000195,2025-01-12,Belgium,Partner,mobile,25-34
CUST_001847,2025-01-12,France,Organic,desktop,25-34
CUST_000356,2025-01-12,France,Organic,mobile,25-34
CUST_002394,2025-01-12,France,Organic,mobile,25-34
CUST_003238,2025-01-12,Switzerland,Paid Social,mobile,35-44
CUST_003423,2025-01-12,France,Search Ads,mobile,45+
