payment_id,subscription_id,customer_id,payment_date,amount,payment_status,payment_type
PAY_000001,SUB_000001,CUST_002796,2025-01-16,9.99,paid,trial_conversion
PAY_000002,SUB_000001,CUST_002796,2025-02-16,9.99,paid,renewal
PAY_000003,SUB_000001,CUST_002796,2025-03-16,9.99,paid,renewal
PAY_000004,SUB_000001,CUST_002796,2025-04-16,9.99,paid,renewal
PAY_000005,SUB_000001,CUST_002796,2025-05-16,9.99,paid,renewal
PAY_000006,SUB_000001,CUST_002796,2025-06-16,9.99,paid,renewal
PAY_000007,SUB_000001,CUST_002796,2025-07-16,9.99,paid,renewal
PAY_000008,SUB_000001,CUST_002796,2025-08-16,9.99,paid,renewal
PAY_000009,SUB_000001,CUST_002796,2025-09-16,9.99,paid,renewal
PAY_000010,SUB_000001,CUST_002796,2025-10-16,9.99,paid,renewal
PAY_000011,SUB_000001,CUST_002796,2025-11-16,9.99,paid,renewal
PAY_000012,SUB_000001,CUST_002796,2025-12-16,9.99,paid,renewal
PAY_000013,SUB_000002,CUST_003082,2025-01-16,9.99,paid,trial_conversion
PAY_000014,SUB_000002,CUST_003082,2025-02-16,9.99,paid,renewal
PAY_000015,SUB_000002,CUST_003082,2025-03-16,9.99,paid,renewal
PAY_000016,SUB_000002,CUST_003082,2025-04-16,9.99,paid,renewal
PAY_000017,SUB_000002,CUST_003082,2025-05-16,9.99,paid,renewal
PAY_000018,SUB_000002,CUST_003082,2025-06-16,9.99,paid,renewal
PAY_000019,SUB_000002,CUST_003082,2025-07-16,9.99,paid,renewal
PAY_000020,SUB_000002,CUST_003082,2025-08-16,9.99,paid,renewal
PAY_000021,SUB_000002,CUST_003082,2025-09-16,9.99,paid,renewal
PAY_000022,SUB_000002,CUST_003082,2025-10-16,9.99,paid,renewal
PAY_000023,SUB_000002,CUST_003082,2025-11-16,9.99,paid,renewal
PAY_000024,SUB_000002,CUST_003082,2025-12-16,9.99,paid,renewal
PAY_000025,SUB_000007,CUST_003744,2025-01-16,9.99,paid,trial_conversion
PAY_000026,SUB_000007,CUST_003744,2025-02-16,9.99,paid,renewal
PAY_000027,SUB_000007,CUST_003744,2025-03-16,9.99,paid,renewal
PAY_000028,SUB_000007,CUST_003744,2025-04-16,9.99,paid,renewal
PAY_000029,SUB_000007,CUST_003744,2025-05-16,9.99,paid,renewal
PAY_000030,SUB_000007,CUST_003744,2025-06-16,9.99,paid,renewal
PAY_000031,SUB_000007,CUST_003744,2025-07-16,9.99,paid,renewal
PAY_000032,SUB_000007,CUST_003744,2025-08-16,9.99,paid,renewal
PAY_000033,SUB_000007,CUST_003744,2025-09-16,9.99,paid,renewal
PAY_000034,SUB_000007,CUST_003744,2025-10-16,9.99,paid,renewal
PAY_000035,SUB_000007,CUST_003744,2025-11-16,9.99,paid,renewal
PAY_000036,SUB_000007,CUST_003744,2025-12-16,9.99,paid,renewal
PAY_000037,SUB_000010,CUST_002874,2025-01-17,9.99,paid,trial_conversion
PAY_000038,SUB_000010,CUST_002874,2025-02-17,9.99,paid,renewal
PAY_000039,SUB_000010,CUST_002874,2025-03-17,9.99,paid,renewal
PAY_000040,SUB_000010,CUST_002874,2025-04-17,9.99,paid,renewal
