subscription_id,customer_id,plan_type,trial_start_date,trial_end_date,converted_to_paid,subscription_start_date,subscription_end_date,subscription_status,monthly_price,billing_cycle_months,cancel_reason
SUB_000001,CUST_002796,monthly,2025-01-01,2025-01-15,True,2025-01-16,,active,9.99,1,
SUB_000002,CUST_003082,monthly,2025-01-01,2025-01-15,True,2025-01-16,,active,9.99,1,
SUB_000003,CUST_003453,monthly,2025-01-01,2025-01-15,False,,,trial_only,9.99,1,
SUB_000004,CUST_001124,monthly,2025-01-01,2025-01-15,False,,,trial_only,9.99,1,
SUB_000005,CUST_003067,monthly,2025-01-01,2025-01-15,False,,,trial_only,9.99,1,
SUB_000006,CUST_000931,monthly,2025-01-01,2025-01-15,False,,,trial_only,9.99,1,
SUB_000007,CUST_003744,monthly,2025-01-01,2025-01-15,True,2025-01-16,,active,9.99,1,
SUB_000008,CUST_003581,monthly,2025-01-01,2025-01-15,False,,,trial_only,9.99,1,
SUB_000009,CUST_003821,monthly,2025-01-02,2025-01-16,False,,,trial_only,9.99,1,
SUB_000010,CUST_002874,monthly,2025-01-02,2025-01-16,True,2025-01-17,,active,9.99,1,
SUB_000011,CUST_001542,monthly,2025-01-02,2025-01-16,False,,,trial_only,9.99,1,
SUB_000012,CUST_001381,monthly,2025-01-02,2025-01-16,False,,,trial_only,9.99,1,
SUB_000013,CUST_001955,annual,2025-01-02,2025-01-16,True,2025-01-17,,active,8.33,12,
SUB_000014,CUST_003048,monthly,2025-01-02,2025-01-16,False,,,trial_only,9.99,1,
SUB_000015,CUST_000758,monthly,2025-01-02,2025-01-16,False,,,trial_only,9.99,1,
SUB_000016,CUST_002310,monthly,2025-01-02,2025-01-16,False,,,trial_only,9.99,1,
SUB_000017,CUST_001055,monthly,2025-01-02,2025-01-16,False,,,trial_only,9.99,1,
SUB_000018,CUST_003005,monthly,2025-01-02,2025-01-16,False,,,trial_only,9.99,1,
SUB_000019,CUST_000730,monthly,2025-01-02,2025-01-16,False,,,trial_only,9.99,1,
SUB_000020,CUST_003534,annual,2025-01-02,2025-01-16,True,2025-01-17,,active,8.33,12,
SUB_000021,CUST_003157,monthly,2025-01-02,2025-01-16,False,,,trial_only,9.99,1,
SUB_000022,CUST_002994,monthly,2025-01-03,2025-01-17,False,,,trial_only,9.99,1,
SUB_000023,CUST_000714,monthly,2025-01-03,2025-01-17,False,,,trial_only,9.99,1,
SUB_000024,CUST_000300,monthly,2025-01-03,2025-01-17,False,,,trial_only,9.99,1,
SUB_000025,CUST_003126,monthly,2025-01-03,2025-01-17,False,,,trial_only,9.99,1,
SUB_000026,CUST_002265,monthly,2025-01-03,2025-01-17,False,,,trial_only,9.99,1,
SUB_000027,CUST_000764,monthly,2025-01-03,2025-01-17,False,,,trial_only,9.99,1,
SUB_000028,CUST_001655,monthly,2025-01-03,2025-01-17,False,,,trial_only,9.99,1,
SUB_000029,CUST_001414,monthly,2025-01-03,2025-01-17,False,,,trial_only,9.99,1,
SUB_000030,CUST_000455,monthly,2025-01-04,2025-01-18,True,2025-01-19,2025-09-19,cancelled,9.99,1,low_value
SUB_000031,CUST_001133,monthly,2025-01-04,2025-01-18,False,,,trial_only,9.99,1,
SUB_000032,CUST_001802,monthly,2025-01-04,2025-01-18,False,,,trial_only,9.99,1,
SUB_000033,CUST_003309,monthly,2025-01-04,2025-01-18,False,,,trial_only,9.99,1,
SUB_000034,CUST_000484,annual,2025-01-04,2025-01-18,True,2025-01-19,,active,8.33,12,
SUB_000035,CUST_000401,monthly,2025-01-04,2025-01-18,False,,,trial_only,9.99,1,
SUB_000036,CUST_003080,monthly,2025-01-04,2025-01-18,False,,,trial_only,9.99,1,
SUB_000037,CUST_001588,monthly,2025-01-04,2025-01-18,False,,,trial_only,9.99,1,
SUB_000038,CUST_000691,annual,2025-01-04,2025-01-18,True,2025-01-19,,active,8.33,12,
SUB_000039,CUST_002092,annual,2025-01-04,2025-01-18,True,2025-01-19,,active,8.33,12,
SUB_000040,CUST_001635,monthly,2025-01-04,2025-01-18,False,,,trial_only,9.99,1,
